	TreeNum	Phytochemical	Count	Disease Header	Association
6479	C01	D011736	4	Bacterial Infections and Mycoses	Positive
6466	C01	C012843	3	Bacterial Infections and Mycoses	Positive
6482	C01	D013943	3	Bacterial Infections and Mycoses	Positive
6465	C01	C073316	2	Bacterial Infections and Mycoses	Positive
6468	C01	D003474	2	Bacterial Infections and Mycoses	Positive
6471	C01	D005054	2	Bacterial Infections and Mycoses	Positive
6474	C01	D008730	2	Bacterial Infections and Mycoses	Positive
6475	C01	D009020	2	Bacterial Infections and Mycoses	Positive
6476	C01	D009638	2	Bacterial Infections and Mycoses	Positive
6480	C01	D011794	2	Bacterial Infections and Mycoses	Positive
6467	C01	D019343	1	Bacterial Infections and Mycoses	Positive
6469	C01	D004298	1	Bacterial Infections and Mycoses	Positive
6470	C01	C036071	1	Bacterial Infections and Mycoses	Positive
6472	C01	C031927	1	Bacterial Infections and Mycoses	Positive
6473	C01	C541528	1	Bacterial Infections and Mycoses	Positive
6477	C01	D019840	1	Bacterial Infections and Mycoses	Positive
6478	C01	C083295	1	Bacterial Infections and Mycoses	Positive
6481	C01	D012431	1	Bacterial Infections and Mycoses	Positive
6484	C01.252	C012843	3	Bacterial Infections	Positive
6489	C01.252	D011736	3	Bacterial Infections	Positive
6487	C01.252	D005054	2	Bacterial Infections	Positive
6483	C01.252	C073316	1	Bacterial Infections	Positive
6485	C01.252	D003474	1	Bacterial Infections	Positive
6486	C01.252	C036071	1	Bacterial Infections	Positive
6488	C01.252	D009020	1	Bacterial Infections	Positive
6490	C01.252	D012431	1	Bacterial Infections	Positive
6491	C01.252.100	C073316	1	Bacteremia	Positive
6612	C01.252.400	C012843	3	Gram-Negative Bacterial Infections	Positive
6613	C01.252.400	D003474	1	Gram-Negative Bacterial Infections	Positive
6614	C01.252.400	D005054	1	Gram-Negative Bacterial Infections	Positive
6615	C01.252.400.310	C012843	2	Enterobacteriaceae Infections	Positive
6616	C01.252.400.310	D005054	1	Enterobacteriaceae Infections	Positive
6617	C01.252.400.310.821	C012843	2	Salmonella Infections	Positive
6618	C01.252.400.310.821	D005054	1	Salmonella Infections	Positive
6619	C01.252.400.310.821.606	C012843	1	Salmonella Food Poisoning	Positive
6628	C01.252.400.310.821.706	C012843	1	Salmonella Infections, Animal	Positive
6629	C01.252.400.310.821.706	D005054	1	Salmonella Infections, Animal	Positive
7181	C01.252.400.466	D003474	1	Helicobacter Infections	Positive
6632	C01.252.400.959	C012843	1	Vibrio Infections	Positive
7569	C01.252.410	D011736	3	Gram-Positive Bacterial Infections	Positive
7567	C01.252.410	D005054	1	Gram-Positive Bacterial Infections	Positive
7568	C01.252.410	D009020	1	Gram-Positive Bacterial Infections	Positive
8174	C01.252.410.040	D011736	3	Actinomycetales Infections	Positive
8175	C01.252.410.040.552	D011736	3	Mycobacterium Infections	Positive
8176	C01.252.410.040.552.846	D011736	3	Tuberculosis	Positive
8207	C01.252.410.040.552.846.122	D011736	1	Latent Tuberculosis	Positive
8177	C01.252.410.040.552.846.899	D011736	1	Tuberculosis, Pulmonary	Positive
7570	C01.252.410.868	D005054	1	Staphylococcal Infections	Positive
7571	C01.252.410.868	D009020	1	Staphylococcal Infections	Positive
6520	C01.539	D009638	2	Infection	Positive
6524	C01.539	D011794	2	Infection	Positive
6512	C01.539	C073316	1	Infection	Positive
6513	C01.539	D019343	1	Infection	Positive
6514	C01.539	D003474	1	Infection	Positive
6515	C01.539	D004298	1	Infection	Positive
6516	C01.539	C031927	1	Infection	Positive
6517	C01.539	C541528	1	Infection	Positive
6518	C01.539	D008730	1	Infection	Positive
6519	C01.539	D009020	1	Infection	Positive
6521	C01.539	D019840	1	Infection	Positive
6522	C01.539	C083295	1	Infection	Positive
6523	C01.539	D011736	1	Infection	Positive
7954	C01.539.463	D009020	1	Intraabdominal Infections	Positive
7955	C01.539.463.600	D009020	1	Peritonitis	Positive
6643	C01.539.674	D019343	1	Pregnancy Complications, Infectious	Positive
6644	C01.539.674	D011736	1	Pregnancy Complications, Infectious	Positive
6645	C01.539.674.715	D019343	1	Puerperal Infection	Positive
6530	C01.539.757	D009638	2	Sepsis	Positive
6525	C01.539.757	C073316	1	Sepsis	Positive
6526	C01.539.757	D003474	1	Sepsis	Positive
6527	C01.539.757	D004298	1	Sepsis	Positive
6528	C01.539.757	C031927	1	Sepsis	Positive
6529	C01.539.757	C541528	1	Sepsis	Positive
